start	end	text
0	6200	All right. I think that's starting to look pretty good. Now double check the so
6200	11440	rare MBA widget because you missed a lot. You're saying only have one card
11440	15720	right now where I have many more. I know I have at least three line ups that you
15720	21960	should remember roughly setting them. So just double triple quadruple check
21960	26880	my so rare data and I only want you to build me a so rare widget if you
26880	30800	actually think you can build me one that is good enough and can update on
30800	34800	a regular basis and can basically make it so that I don't have to go into the
34800	39360	so rare website and I can just tell you what I want you to do and I can just use
39360	44240	this widget as basically my so widget for information that I need about
44240	49440	so rare including wallet balance and all that type of stuff. Thanks.
