start	end	text
0	2000	Sorry to look really good.
2000	6000	Please just do a double check that none of the taxes overlapping with each other and
6000	8000	just clean out the text overlay a little bit.
8000	12000	Make it a little bit bigger and move it towards the center of the screen and make sure
12000	15000	it's contrasted and colors so that it really pops.
15000	17000	Also no spoil or alerts.
17000	21000	You let the audience know that I pulled a Drake Bay before they saw me pull the Drake
21000	22000	May.
22000	26000	So please fix that polish the video as if you are professional and get it ready for me
26000	28000	to upload a TikTok with a proposed caption.
28000	29000	Thanks.
